model,category,spectral_score,localized_dip,localized_dip_layer,localized_kink,localized_kink_range,shape_anomaly,cosine_anomaly,cosine_score,weight_score,changepoint_score,combined,min_erank_layer,changepoint_range
original,reference,4.1780,2.2265,3,2.5287,"[14, 14]",1.2560,0.001979,0.0088,3.1452,6.2151,0.0676,14,"[1, 15]"
retain,reference,5.7966,3.0076,12,3.3776,"[14, 14]",1.3476,0.002027,0.0128,3.1452,6.2150,0.1543,14,"[1, 15]"
rmu,unlearned,4.3746,2.4467,12,2.6436,"[14, 14]",1.2059,0.002086,0.0058,3.1452,6.2151,0.0900,14,"[1, 15]"
npo,unlearned,7.0053,4.0922,12,4.0388,"[14, 14]",1.1459,0.004562,0.0180,3.1450,6.2152,0.6418,14,"[1, 15]"
graddiff,unlearned,3.5653,2.2470,3,2.3568,"[9, 9]",1.3172,0.002157,0.0057,3.1452,6.2151,0.0947,4,"[1, 15]"
altpo,unlearned,5.8359,2.3858,2,3.2510,"[4, 4]",2.4916,0.005568,0.0443,3.1452,6.2148,0.9234,4,"[1, 15]"
undial,unlearned,1.9372,1.0684,3,2.5289,"[7, 13]",1.3463,0.002881,0.0041,3.1446,6.2178,0.1958,14,"[1, 15]"
idknll,unlearned,4.2120,2.3498,3,2.4029,"[12, 12]",2.0273,0.003373,0.0276,3.1452,6.2149,0.4118,14,"[1, 15]"
