model,category,spectral_score,localized_dip,localized_dip_layer,localized_kink,localized_kink_range,shape_anomaly,cosine_anomaly,cosine_score,weight_score,changepoint_score,combined,min_erank_layer,changepoint_range,t_stat,t_pvalue,u_stat,u_pvalue,effect_size_cohens_d,mean_delta
original,reference,14.5325,10.5913,23,4.6487,"[1, 22]",1.6698,0.001740,0.0209,3.3336,4.5506,0.9302,24,"[1, 26]",1.4124,1.5940e-01,20400.0000,7.1183e-01,0.0999,0.002100
retain,reference,12.3598,9.4074,23,4.4919,"[23, 25]",1.5411,0.001450,0.0284,3.3339,4.5508,0.3435,24,"[1, 26]",2.2272,2.7052e-02,21200.0000,2.6737e-01,0.1575,0.003373
rmu,unlearned,12.8306,9.0326,23,4.7658,"[24, 24]",1.6079,0.001748,0.0175,3.3338,4.5502,0.9220,24,"[1, 26]",1.4279,1.5489e-01,20600.0000,5.7935e-01,0.1010,0.002164
npo,unlearned,12.4634,8.9742,23,4.4281,"[24, 24]",1.5386,0.001503,0.0147,3.3336,4.5505,0.3784,24,"[1, 26]",0.9959,3.2050e-01,20400.0000,7.1183e-01,0.0704,0.001576
graddiff,unlearned,11.3682,7.9687,23,4.3433,"[24, 24]",1.4861,0.001472,0.0145,3.3336,4.5505,0.2708,24,"[1, 26]",0.9608,3.3781e-01,20400.0000,7.1183e-01,0.0679,0.001562
altpo,unlearned,14.0715,10.2573,23,4.5053,"[23, 25]",1.6449,0.001705,0.0199,3.3336,4.5506,0.8286,24,"[1, 26]",1.3600,1.7538e-01,20400.0000,7.1183e-01,0.0962,0.002051
undial,unlearned,10.4355,7.5056,23,4.1333,"[24, 24]",1.3108,0.001389,0.0113,3.3336,4.5505,0.0034,24,"[1, 26]",0.8690,3.8587e-01,20600.0000,5.7935e-01,0.0615,0.001383
idknll,unlearned,12.4634,8.9742,23,4.4281,"[24, 24]",1.5386,0.001503,0.0147,3.3336,4.5505,0.3784,24,"[1, 26]",0.9959,3.2050e-01,20400.0000,7.1183e-01,0.0704,0.001576
