model,category,spectral_score,localized_dip,localized_dip_layer,localized_kink,localized_kink_range,shape_anomaly,cosine_anomaly,cosine_score,weight_score,changepoint_score,combined,min_erank_layer,changepoint_range,t_stat,t_pvalue,u_stat,u_pvalue,effect_size_cohens_d,mean_delta
original,reference,17.0662,15.0568,20,4.1562,"[3, 18]",1.2034,0.001660,0.0102,4.4146,11.7905,0.8226,22,"[0, 23]",0.4327,6.6569e-01,22600.0000,1.6232e-02,0.0306,0.001324
retain,reference,17.0662,15.0568,20,4.1562,"[3, 18]",1.2034,0.001660,0.0102,4.4146,11.7905,0.8226,22,"[0, 23]",0.4327,6.6569e-01,22600.0000,1.6232e-02,0.0306,0.001324
grad_ascent,unlearned,14.1116,13.8934,20,3.1997,"[4, 7]",1.0172,0.000380,-0.0003,4.4147,11.7914,0.0827,20,"[0, 23]",-1.4341,1.5310e-01,21400.0000,1.9564e-01,-0.1014,-0.000853
grad_diff,unlearned,9.6281,8.3662,1,3.4097,"[1, 3]",0.9111,0.001592,0.0245,4.4146,11.7898,0.6534,1,"[0, 23]",1.0430,2.9820e-01,22600.0000,1.6232e-02,0.0738,0.003185
kl,unlearned,10.4802,10.2324,19,4.5684,"[4, 7]",1.1520,0.000361,-0.0002,4.4147,11.7911,0.1622,19,"[0, 23]",-0.9290,3.5401e-01,21400.0000,1.9564e-01,-0.0657,-0.000562
idk,unlearned,22.4939,20.1364,20,4.9457,"[1, 18]",1.5571,0.001256,0.0169,4.4147,11.7908,0.7797,22,"[0, 23]",1.0973,2.7383e-01,23000.0000,5.5452e-03,0.0776,0.003080
